_id,toponimo,n_id,estado,tipo_estac,sinal_vert,sinal_info_vert,n_lugares,pictograma,objectid,globalid,esriGeometryPoint
110,Rua de Saraiva de Carvalho,205,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,112,{5A27E4CF-E27D-4275-945A-C3E53428C389},"-39983.16119999997,163886.9416000005"
111,Rua Alfredo Allen,13,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,113,{C16F2818-9FA9-419A-9D0E-DE4D5131F6ED},"-39495.32799999975,167406.08720000088"
112,Avenida do Marechal Gomes da Costa,167,Ativo,4.3.2 - Lugar não individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,114,{827FD201-B79E-4AC9-8D23-6D7B98A947FE},"-44685.92960000038,165546.68649999984"
113,Rua de Delfim Maia,190,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,115,{5A40E800-2940-486A-AC0C-EA5FA9D88F77},"-43571.229500000365,167328.8021000009"
114,Rua de D. João de Castro,106,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,116,{BB4D50C1-62B9-4E12-AEF5-99022E4DBFE1},"-44237.63239999954,165705.79419999942"
115,Rua do Bolama,44,Ativo,4.2.4 - Lugar individualizado perpendicular,Sim,Sim,10,Sim,117,{FACBAFCC-C655-44C6-9F51-7FFC03D3A04E},"-39495.96530000027,166363.96409999952"
116,Rua de Gonçalo Cristóvão,162,Ativo,4.2.4 - Lugar individualizado perpendicular,Sim,Sim,10,Sim,118,{D596C859-48EA-4092-A369-3A336EC51C69},"-40052.18829999957,165028.24450000003"
117,Rua do Passeio Alegre,171,Ativo,4.2.4 - Lugar individualizado perpendicular,Sim,Sim,10,Sim,119,{8551F5EE-6739-44BA-BA91-7B81A3EB4E0D},"-44852.98020000011,164402.3228999991"
118,Rua de Santa Catarina,164,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,120,{CB8352FE-61D8-470C-BA88-28513D71AC3E},"-39579.7368999999,165407.5253999997"
119,Via Panoramica,78,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,121,{AE283432-0EFF-4AFD-87D7-D479FDCE4017},"-42350.65510000009,164914.67500000075"
120,Rua de Fernandes Tomás,59,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,20,Sim,122,{0814D2F8-3CDF-4A17-A6E7-D5C9D9412CA5},"-39610.53600000031,164595.6208999995"
121,Rua do Campo Alegre,77,Ativo,4.2.2 - Lugar individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,123,{EB025A48-A29C-42AF-AC0A-C314F0478848},"-42425.161899999715,165004.07789999992"
122,Rua do Melo,157,Ativo,4.2.4 - Lugar individualizado perpendicular,Sim,Sim,10,Sim,124,{D97E790F-A5D1-4ED4-BF82-CFD2D1F0C694},"-40702.003800000064,165457.56240000017"
123,Rua de Gil Eanes,107,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,125,{25481CEA-A1F3-474C-9751-4CC5761630D1},"-44259.03569999989,165520.6877999995"
